   5.0000000e+00   2.9281625e+00   1.5758082e+00
   9.0000000e+00   2.2638481e+00   2.3882686e+00
   1.3000000e+01   1.5498800e+00   2.1347796e+00
   1.7000000e+01   1.3199927e+00   2.6934583e+00
   2.1000000e+01   7.8260785e-01   1.4864963e+00
   2.5000000e+01   7.0967928e-01   1.9318060e+00
   2.9000000e+01   5.1968805e-01   6.6016479e-01
   3.3000000e+01   4.4032595e-01   1.5294106e+00
   3.7000000e+01   2.1780887e-01   7.7136771e-01
   4.1000000e+01   1.2915219e-01   5.5346864e-01
   4.5000000e+01   5.7384038e-02   1.2906998e-01
   4.9000000e+01   4.5954939e-02   1.1985516e-01
   5.3000000e+01   4.2537218e-02   1.2415984e-01
   5.7000000e+01   3.3678501e-02   6.1041252e-02
   6.1000000e+01   3.1176516e-02   1.5614694e-01
   6.5000000e+01   1.8997163e-02   4.3764147e-02
   6.9000000e+01   1.7506439e-02   5.4527442e-02
   7.3000000e+01   1.6036828e-02   6.1894613e-02
   7.7000000e+01   1.4088659e-02   4.3184493e-02
   8.1000000e+01   1.2938970e-02   1.8526726e-02
   8.5000000e+01   1.2494500e-02   5.1666803e-02
   8.9000000e+01   1.0411246e-02   1.3770639e-02
   9.3000000e+01   9.8123803e-03   3.0257815e-02
   9.7000000e+01   9.1746584e-03   3.1851752e-02
   1.0100000e+02   7.9848130e-03   3.5842415e-02
   1.0500000e+02   6.5828042e-03             NaN
